path_prefix,owner,group,default_mode
/,root,root,755
/public,root,root,755
/public/announcements,root,staff,755
/public/shared,root,user,777
/internal,root,employee,750
/internal/projects,root,developer,770
/internal/reports,root,analyst,750
/internal/documentation,root,employee,750
/confidential,root,executive,750
/confidential/finance,root,finance,750
/confidential/strategy,root,executive,750
/confidential/hr,root,hr,750
/confidential/.hidden,root,root,700
/home,root,root,755
/home/alice,alice,alice,700
/home/alice/documents,alice,alice,700
/home/alice/.ssh,alice,alice,700
/home/bob,bob,bob,750
/home/bob/documents,bob,bob,750
/home/bob/projects,bob,developer,750
/home/eve,eve,eve,755
/home/eve/public_only,eve,user,755
/home/charlie,charlie,charlie,750
/home/charlie/analysis,charlie,analyst,750
/shared,root,user,775
/shared/team_alpha,root,team_alpha,770
/shared/team_beta,root,team_beta,770
/shared/temp,root,user,777
/admin,root,admin,750
/admin/logs,root,admin,750
/admin/configs,root,admin,750
/admin/backups,root,admin,750
/test,root,tester,755
/test/read_only,root,tester,444
/test/write_only,root,tester,222
/test/no_access,root,root,000
